"Priority","Key","Status","DueDate","Flagged"
"High","PD-2062","IN LIVE - NEEDS TESTING","",""
"High","PD-443","IN LIVE - NEEDS TESTING","",""
"Medium","PD-2418","IN LIVE - NEEDS TESTING","",""
"Medium","PD-2172","IN LIVE - NEEDS TESTING","",""
"Medium","PD-2151","IN LIVE - NEEDS TESTING","",""
"Medium","PD-2116","IN LIVE - NEEDS TESTING","",""
"Medium","PD-1937","IN LIVE - NEEDS TESTING","",""
"Highest","PD-2624","Live - Rework","",""
"High","PD-2215","Live - Rework","",""
"High","PD-792","Live - Rework","",""
"Medium","PD-2174","Live - Rework","8/22/24 0:00",""
"Medium","PD-2176","Live - Rework","",""
"Medium","PD-2147","Live - Rework","",""
"High","PD-2317","Live Build Deploy Ready","10/3/24 0:00",""
"High","PD-2181","Live Build Deploy Ready","",""
"Medium","PD-1654","Live Build Deploy Ready","",""
"Medium","PD-1653","Live Build Deploy Ready","",""
"Medium","PD-2203","Deployed to UAT","",""
"High","PD-1603","UAT - REWORK","",""
"High","PD-2331","QA In Testing","",""
"High","PD-2265","QA In Testing","",""
"High","PD-2364","Deployed to QA","",""
"High","PD-2304","Deployed to QA","",""
"Medium","PD-2414","Deployed to QA","",""
"Medium","PD-2290","Deployed to QA","",""
"Medium","PD-1517","Deployed to QA","",""
"Medium","PD-218","Deployed to QA","",""
"High","PD-2389","Happy Path Tested QA Ready","",""
"High","PD-1010","Happy Path Tested QA Ready","",""
"Medium","PD-2163","Happy Path Tested QA Ready","",""
"High","PD-2301","Needs Happy Path Testing","",""
"Medium","PD-2519","Needs Happy Path Testing","",""
"Highest","PD-2443","Ready for Code Review","",""
"Highest","PD-2487","REWORK FROM TESTING","11/14/24 0:00",""
"Highest","PD-2375","REWORK FROM TESTING","",""
"Highest","PD-1526","REWORK FROM TESTING","",""
"High","PD-2396","REWORK FROM TESTING","",""
"High","PD-2382","REWORK FROM TESTING","",""
"High","PD-2032","REWORK FROM TESTING","",""
"Medium","PD-2251","REWORK FROM TESTING","",""
"Highest","PD-2600","In Development","",""
"Highest","PD-2507","In Development","",""
"High","PD-1818","In Development","11/1/24 0:00",""
"High","PD-2557","In Development","",""
"High","PD-2466","In Development","",""
"High","PD-2427","In Development","",""
"High","PD-2392","In Development","",""
"High","PD-610","In Development","",""
"Medium","PD-2586","In Development","10/24/24 0:00",""
"Medium","PD-2244","In Development","",""
"Medium","PD-2152","In Development","",""
"Medium","PD-2055","In Development","",""
"Medium","PD-1982","In Development","",""
"Medium","PD-1183","In Development","",""
"High","PD-2429","Blocked","",""
"High","PD-1930","Blocked","",""
"Medium","PD-1675","Blocked","",""
"Highest","PD-2540","Ready","",""
"Highest","PD-2442","Ready","",""
"Highest","PD-2299","Ready","",""
"High","PD-2337","Ready","10/1/24 0:00",""
"High","PD-2635","Ready","",""
"High","PD-2520","Ready","",""
"High","PD-2308","Ready","",""
"High","PD-2250","Ready","",""
"High","PD-1639","Ready","",""
"Medium","PD-2460","Ready","9/26/24 0:00",""
"Medium","PD-2585","Ready","10/24/24 0:00",""
"Medium","PD-2222","Ready","11/1/24 0:00",""
"Medium","PD-2529","Ready","",""
"Medium","PD-2505","Ready","",""
"Medium","PD-2485","Ready","",""
"Medium","PD-2470","Ready","",""
"Medium","PD-2468","Ready","",""
"Medium","PD-2419","Ready","",""
"Medium","PD-2378","Ready","",""
"Medium","PD-2327","Ready","",""
"Medium","PD-2315","Ready","",""
"Medium","PD-2281","Ready","",""
"Medium","PD-2279","Ready","",""
"Medium","PD-2277","Ready","",""
"Medium","PD-2239","Ready","",""
"Medium","PD-2094","Ready","",""
"Medium","PD-2046","Ready","",""
"Medium","PD-1886","Ready","",""
"Medium","PD-1885","Ready","",""
"Medium","PD-1857","Ready","",""
"Medium","PD-1770","Ready","",""
"Medium","PD-1635","Ready","",""
"Medium","PD-1324","Ready","",""
"Medium","PD-1136","Ready","",""
"Medium","PD-975","Ready","",""
"Highest","PD-2228","To Do","10/17/24 0:00",""
"Highest","PD-2575","To Do","",""
"Highest","PD-2428","To Do","",""
"High","PD-2612","To Do","10/17/24 0:00",""
"High","PD-2559","To Do","",""
"High","PD-2543","To Do","",""
"High","PD-2432","To Do","",""
"High","PD-2298","To Do","",""
"Medium","PD-2383","To Do","9/26/24 0:00",""
"Medium","PD-2230","To Do","10/17/24 0:00",""
"Medium","PD-2492","To Do","10/31/24 0:00",""
"Medium","PD-2401","To Do","10/31/24 0:00",""
"Medium","PD-2565","To Do","",""
"Medium","PD-2563","To Do","",""
"Medium","PD-2417","To Do","",""
"Medium","PD-2412","To Do","",""
